0 [[1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 0], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 0], [21, 0], [22, 0], [23, 0], [24, 0], [25, 0], [26, 0], [27, 0], [28, 0], [29, 0], [30, 0]]
11 [[1, 259698994.15805525], [2, 254748061.07095242], [3, 244018786.55749488], [4, 0], [5, 257286163.94138664], [6, 98415771.91714427], [7, 0], [8, 252662710.7944008], [9, 226882509.72119826], [10, 188633851.055346], [11, 209317238.4757651], [12, 254305326.1881205], [13, 0], [14, 255011997.98346534], [15, 214432715.7563762], [16, 234267623.3363801], [17, 0], [18, 256995811.11064738], [19, 255325354.38644075], [20, 199428532.0182532], [21, 253559906.4552777], [22, 0], [23, 233669538.71698582], [24, 0], [25, 0], [26, 207608251.88565427], [27, 256060014.02922702], [28, 254701570.31605834], [29, 0], [30, 0]]
12 [[1, 259698994.15805525], [2, 239496122.14190483], [3, 231028179.83624232], [4, 0], [5, 257286163.94138664], [6, 76967743.40678729], [7, 257400870.70961633], [8, 252662710.7944008], [9, 226882509.72119826], [10, 260760832.36923692], [11, 194146548.0947064], [12, 254305326.1881205], [13, 251446311.69207868], [14, 255011997.98346534], [15, 195910287.67516828], [16, 222356831.11517346], [17, 0], [18, 243991622.22129476], [19, 240650708.7728815], [20, 185314238.42190385], [21, 253559906.4552777], [22, 0], [23, 253719771.4465145], [24, 0], [25, 0], [26, 207608251.88565427], [27, 256060014.02922702], [28, 0], [29, 0], [30, 0]]
13 [[1, 260126945.7866534], [2, 239496122.14190483], [3, 218037573.11498976], [4, 256916743.46724623], [5, 252360793.059745], [6, 55519714.89643031], [7, 244801741.41923267], [8, 252337886.70212993], [9, 256951966.50652587], [10, 251521664.73847383], [11, 194146548.0947064], [12, 252036911.0004606], [13, 232892623.38415736], [14, 256057930.63077375], [15, 195910287.67516828], [16, 210446038.89396682], [17, 257186984.7638647], [18, 243991622.22129476], [19, 225976063.15932226], [20, 185314238.42190385], [21, 261292886.22703767], [22, 256211710.27338278], [23, 237439542.89302897], [24, 0], [25, 251303775.47379267], [26, 253906994.87612417], [27, 253141382.22325003], [28, 0], [29, 0], [30, 255164381.79155686]]
14 [[1, 260126945.7866534], [2, 255086093.52902657], [3, 218037573.11498976], [4, 256916743.46724623], [5, 252360793.059745], [6, 55519714.89643031], [7, 244801741.41923267], [8, 234675773.40425986], [9, 256951966.50652587], [10, 242282497.10771075], [11, 257421460.140441], [12, 252036911.0004606], [13, 214338935.07623604], [14, 256057930.63077375], [15, 0], [16, 198535246.6727602], [17, 244373969.5277294], [18, 0], [19, 225976063.15932226], [20, 257397336.99680656], [21, 261292886.22703767], [22, 242423420.54676557], [23, 237439542.89302897], [24, 0], [25, 232607550.94758534], [26, 237813989.75224835], [27, 253141382.22325003], [28, 0], [29, 0], [30, 255164381.79155686]]
15 [[1, 259698994.15805525], [2, 240172187.05805314], [3, 0], [4, 256120409.2861778], [5, 257286163.94138664], [6, 0], [7, 256881452.28626165], [8, 234675773.40425986], [9, 255627503.24039942], [10, 242282497.10771075], [11, 244842920.280882], [12, 250421286.16639987], [13, 195785246.76831472], [14, 257251568.52407292], [15, 0], [16, 198535246.6727602], [17, 231560954.2915941], [18, 261357817.4981822], [19, 0], [20, 257397336.99680656], [21, 0], [22, 242423420.54676557], [23, 254209734.59386265], [24, 0], [25, 232607550.94758534], [26, 237813989.75224835], [27, 0], [28, 0], [29, 0], [30, 0]]
16 [[1, 249397988.3161105], [2, 225258280.5870797], [3, 0], [4, 256120409.2861778], [5, 244572327.88277328], [6, 0], [7, 256881452.28626165], [8, 0], [9, 241255006.48079884], [10, 257471183.88685063], [11, 244842920.280882], [12, 230842572.33279973], [13, 195785246.76831472], [14, 257251568.52407292], [15, 0], [16, 255031910.0000241], [17, 231560954.2915941], [18, 261357817.4981822], [19, 0], [20, 253509688.2144758], [21, 0], [22, 0], [23, 254209734.59386265], [24, 250072360.76533198], [25, 260137416.00359738], [26, 253906994.87612417], [27, 0], [28, 0], [29, 0], [30, 0]]
17 [[1, 249397988.3161105], [2, 225258280.5870797], [3, 250983391.84544182], [4, 0], [5, 231858491.82415992], [6, 0], [7, 0], [8, 251614526.58962986], [9, 241255006.48079884], [10, 244942367.77370125], [11, 0], [12, 230842572.33279973], [13, 257537269.93382284], [14, 257251568.52407292], [15, 0], [16, 240063820.00004822], [17, 257918247.32087365], [18, 253826808.98558468], [19, 256620543.70110923], [20, 253509688.2144758], [21, 0], [22, 0], [23, 0], [24, 230144721.53066397], [25, 260137416.00359738], [26, 253906994.87612417], [27, 0], [28, 0], [29, 0], [30, 0]]
18 [[1, 259231952.54999602], [2, 254698240.45150083], [3, 250983391.84544182], [4, 257502134.81526917], [5, 231858491.82415992], [6, 0], [7, 256881452.28626165], [8, 251614526.58962986], [9, 0], [10, 244942367.77370125], [11, 0], [12, 249142352.32237107], [13, 257537269.93382284], [14, 257251568.52407292], [15, 251477571.91879207], [16, 240063820.00004822], [17, 257918247.32087365], [18, 253826808.98558468], [19, 243241087.40221846], [20, 248062216.84931841], [21, 0], [22, 256906541.5390993], [23, 0], [24, 230144721.53066397], [25, 254820822.27024406], [26, 0], [27, 257449906.5870165], [28, 0], [29, 0], [30, 0]]
19 [[1, 259231952.54999602], [2, 239396480.90300167], [3, 256088044.91364878], [4, 245004269.63053834], [5, 251940644.04926404], [6, 257203540.27559277], [7, 256881452.28626165], [8, 258001441.56353205], [9, 0], [10, 257471183.88685063], [11, 254829309.61894128], [12, 249142352.32237107], [13, 0], [14, 257251568.52407292], [15, 232955143.83758414], [16, 258088260.53741464], [17, 257756708.99029222], [18, 261357817.4981822], [19, 243241087.40221846], [20, 248062216.84931841], [21, 0], [22, 243813083.0781986], [23, 0], [24, 253905906.85000476], [25, 254820822.27024406], [26, 0], [27, 257449906.5870165], [28, 251336645.28463006], [29, 253492964.99534672], [30, 257485019.31417307]]
20 [[1, 257240619.31953213], [2, 239396480.90300167], [3, 242176089.82729757], [4, 245004269.63053834], [5, 233881288.0985281], [6, 244407080.55118555], [7, 0], [8, 246002883.1270641], [9, 258133731.0226566], [10, 257471183.88685063], [11, 239658619.23788255], [12, 0], [13, 0], [14, 257251568.52407292], [15, 214432715.7563762], [16, 258088260.53741464], [17, 257756708.99029222], [18, 261357817.4981822], [19, 253091186.93735656], [20, 0], [21, 0], [22, 243813083.0781986], [23, 0], [24, 237811813.70000952], [25, 254820822.27024406], [26, 0], [27, 0], [28, 251336645.28463006], [29, 253492964.99534672], [30, 257485019.31417307]]
